corridor,segment_actual_time,segment_osrm_time,avg_delay
IND722140AAA->IND723130AAA,1320.0,69.0,1251.0
IND743270AAA->IND712311AAA,1133.6,73.8,1059.8
IND425412AAA->IND424006AAA,1093.0,79.0,1014.0
IND424304AAC->IND424006AAA,926.0,41.5,884.5
IND425409AAA->IND424006AAA,894.0,74.0,820.0
IND493445AAB->IND490023AAA,879.0,61.0,818.0
IND741201AAC->IND712311AAA,865.25,57.0,808.25
IND722151AAA->IND723130AAA,744.4,56.6,687.8
IND425405AAA->IND424006AAA,703.3888888888889,36.388888888888886,667.0
IND424201AAA->IND424006AAA,707.0,67.0,640.0
IND221313AAA->IND221401AAA,585.0,35.0,550.0
IND671315AAA->IND575004AAB,625.5,78.0,547.5
IND571213AAA->IND570020AAA,602.0,71.0,531.0
IND518002AAA->IND518206AAA,563.5,42.5,521.0
IND844505AAB->IND842001AAA,537.375,45.0,492.375
IND785634AAA->IND785001AAA,487.3333333333333,15.666666666666666,471.66666666666663
IND847223AAA->IND842001AAA,505.1578947368421,52.526315789473685,452.6315789473684
IND721102AAA->IND712311AAA,476.7894736842105,62.73684210526316,414.05263157894734
IND802212AAA->IND821115AAB,425.57142857142856,20.214285714285715,405.35714285714283
IND631501AAA->IND600056AAB,412.25,18.5,393.75
